[2026-06-16T05:16:33.347Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.411Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.457Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:33.505Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.553Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.600Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.677Z] check sc=0 len=12388 ZXAN=true
[2026-06-16T05:16:33.691Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.739Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:33.787Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.931Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.978Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:34.025Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.073Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.131Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.183Z] check sc=0 len=12740 ZXAN=true
[2026-06-16T05:16:34.183Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:34.231Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.327Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.373Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:34.419Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.481Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.528Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:34.575Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.627Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:34.671Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
